Shimmer_8663_TimestampSync_Unix_CAL,Shimmer_8663_Accel_LN_X_LPF_CAL,Shimmer_8663_Accel_LN_Y_LPF_CAL,Shimmer_8663_Accel_LN_Z_LPF_CAL,Shimmer_8663_ECGtoHR_LA_RA_LPF_CAL,Shimmer_8663_ECGtoHR_LL_LA_LPF_CAL,Shimmer_8663_ECGtoHR_LL_RA_LPF_CAL
ms,m/(s^2),m/(s^2),m/(s^2),BPM,BPM,BPM
1.71E+12,2.524933633,10.67046277,4.704501574,80.47918618,81.44776649,81.12661375
1.71E+12,2.524170842,10.67149069,4.703078161,80.46246802,81.35624369,81.10067295
1.71E+12,2.523402137,10.67252496,4.701637409,80.44535619,81.26266702,81.07415001
1.71E+12,2.522629207,10.67356421,4.700181405,80.42786036,81.16709315,81.047061
1.71E+12,2.521853833,10.67460704,4.698712304,80.40999112,81.06958366,81.01942336
1.71E+12,2.521077866,10.67565203,4.697232336,80.39175997,80.97020499,80.99125593
1.71E+12,2.520303228,10.67669771,4.6957438,80.37317935,80.86902827,80.96257887
1.71E+12,2.519531907,10.6777426,4.694249062,80.35426255,80.76612926,80.93341365
1.71E+12,2.518765961,10.67878515,4.692750558,80.33502374,80.66158812,80.903783
1.71E+12,2.518007498,10.67982382,4.691250787,80.31547791,80.55548928,80.87371084
1.71E+12,2.517258674,10.68085699,4.689752292,80.29564083,80.44792126,80.84322225
1.71E+12,2.516521705,10.68188305,4.688257679,80.27552907,80.33897642,80.81234343
1.71E+12,2.515798873,10.68290037,4.686769602,80.25515988,80.2287508,80.7811016
1.71E+12,2.515092495,10.68390733,4.685290764,80.23455123,80.11734384,80.74952492
1.71E+12,2.514404921,10.6849023,4.683823915,80.2137217,80.00485814,80.7176425
1.71E+12,2.513738534,10.68588366,4.682371852,80.19269049,79.89139923,80.68548423
1.71E+12,2.513095726,10.68684982,4.680937392,80.17147732,79.77707524,80.65308077
1.71E+12,2.512478911,10.68779922,4.679523352,80.1501024,79.66199669,80.62046344
